Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
24.96738083,-191.4490051,140.3560028,-143.7569885,277.5222529
24.98736125,-192.8009949,145.746994,-145.821991,282.2737376
25.00773983,-195.651001,164.516983,-149.0359802,295.9001103
25.02763802,-204.477005,170.128006,-152.7290039,306.7255005
25.04743744,-209.4949951,178.1269989,-153.7129822,315.0318422
25.06736875,-214.4929962,183.8769989,-155.5270081,322.5006146
25.08738071,-216.1029968,188.7069855,-154.2019958,325.7131977
25.10737375,-217.8820038,193.9850006,-149.5299988,327.8139237
25.12743652,-224.9649963,199.1629791,-141.8500061,332.259787
25.14734694,-223.526001,203.5110016,-135.5799866,331.3042916
25.16736498,-222.0070038,205.8880157,-131.9770203,330.2951992
25.18742244,-220.0469971,207.5349884,-126.2070007,327.749385
25.20744521,-217.0590057,211.5249786,-118.9920044,325.60179
25.22746044,-213.3209991,211.1109772,-112.8179932,320.626875
25.24749079,-212.8399963,211.5829926,-106.4179993,318.4227023
25.26738917,-205.5619965,215.0070038,-97.60800171,313.0671942
25.28752752,-198.0010071,213.5359955,-96.8789978,306.8999192
25.30817198,-192.7819977,213.5709991,-96.23300171,303.3780825
25.32736098,-191.1900024,211.7230072,-94.95098877,300.6591743
25.34731825,-192.5350037,213.0470123,-92.58000183,301.7114745
25.3673031,-190.1649933,212.5420074,-91.32099915,299.460105
25.38736829,-190.5119934,210.7259979,-87.89700317,297.365346
25.40747252,-189.8809967,206.8399811,-90.48599243,295.0004839
25.42743594,-188.871994,203.4929962,-93.09399414,292.8284846
25.44737091,-184.3600006,203.253006,-94.86599731,290.3445397
25.46735321,-168.0330048,202.5269928,-97.09399414,280.4986938
25.48743464,-157.9170074,202.1599884,-101.8460083,276.0055281
25.50733733,-128.1380005,202.1360016,-104.8600006,261.2928052
25.52736917,-141.651001,200.6970062,-103.4230042,266.5344484
25.55738544,-146.8000031,199.8750153,-99.48199463,267.2020394
25.57787694,-154.7859955,197.0769806,-102.1900024,270.6304441
25.5974391,-155.8639984,196.7220001,-102.1860046,270.9891342
25.61737802,-158.9609985,194.6549835,-101.2139893,270.9306799
25.63744344,-162.822998,191.5269928,-102.0390015,271.3040278
25.65738837,-165.1439972,190.7710114,-100.5110016,271.6037187
25.67748748,-167.7230072,188.9950104,-98.63600159,271.2548283
25.69743241,-170.9819946,185.1510162,-95.16699219,269.3928316
25.71737014,-177.2149963,176.2379913,-88.80799866,265.2392225
25.73738267,-178.5690002,169.8549957,-84.6230011,260.5737127
25.75740614,-180.1360016,163.1900177,-78.91400146,255.5530876
25.77743717,-180.8509979,153.8560028,-72.47399902,248.2563868
25.79746002,-180.3529968,146.8739777,-66.71600342,241.9714733
25.81739179,-178.5789948,140.7500153,-61.86799622,235.6452272
25.83739644,-177.3619995,124.7960052,-52.67999268,223.1737068
25.85738164,-176.0350037,119.8040009,-46.93399048,218.0461433
25.87754675,-177.1529999,110.8809967,-47.46499634,214.3145041
25.89733929,-175.1340027,107.7490082,-45.15600586,210.5251351
25.91738114,-175.3309937,104.6909943,-46.22599792,209.3752719
25.93740237,-173.5189972,101.0550079,-43.602005,205.4801495
25.95733741,-172.8500061,100.595993,-44.15899658,204.8089241
25.98740356,-175.8849945,96.51899719,-46.46299744,205.9375105
26.00731667,-172.5079956,99.8480072,-46.55200195,204.6844449
26.02740187,-171.3999939,102.7180023,-48.77400208,205.6887192
26.04737775,-171.8059998,103.9270172,-50.95899963,207.1592289
26.06737371,-170.7389984,106.5439911,-52.56700134,208.0065317
26.08738114,-170.598999,108.3069916,-53.85800171,209.1294031
26.1074116,-169.4349976,109.9229889,-54.50999451,209.1951753
26.12736341,-168.128006,110.5869904,-57.26599121,209.2269165
26.1473936,-163.5540009,113.3509979,-60.07000732,207.862372
26.16740571,-160.4559937,115.4260101,-61.02099609,206.8643316
26.18736306,-159.7960052,116.772995,-64.41699219,208.1351593
26.20736902,-156.9320068,115.8239899,-64.03199768,205.2874768
26.22735694,-158.0650024,117.8939972,-59.55499268,205.9862537
26.25736837,-155.2510071,121.1699982,-59.33799744,205.6843251
26.27737744,-154.3399963,122.2360077,-57.84300232,205.2030433
26.29741479,-154.8739929,125.3570099,-56.14099121,207.0075953
26.32482133,-157.8529968,125.022995,-57.05599976,209.2933467
26.33740537,-160.8630066,125.4530182,-63.102005,213.5350784
26.35739883,-159.8860016,127.6770172,-62.23100281,213.8636293
26.37740425,-162.1260071,127.826004,-61.90800476,215.5386985
26.3985849,-160.3849945,129.3200226,-57.75500488,213.9688185
26.4174219,-161.1439972,130.5829926,-58.08399963,215.3904752
26.43732114,-158.798996,132.4680023,-59.58700562,215.2103715
26.45730587,-160.1710052,135.0749969,-65.60299683,219.5535445
26.47759187,-160.7129974,136.3119965,-66.88299561,221.0949186
26.49737856,-160.3869934,138.1120148,-67.8809967,222.276283
26.51743683,-162.2779999,139.0019989,-72.1269989,225.5172031
26.53741406,-164.8690033,140.4759979,-71.66000366,228.1456779
26.55735244,-166.1920013,142.1549835,-77.41799927,231.9943259
26.57733487,-162.3500061,146.4940033,-76.69500732,231.7329101
26.59735321,-163.2830048,154.2749786,-79.72799683,238.3666549
26.61744121,-161.5970001,154.9669952,-75.6289978,236.3220374
26.63738698,-159.3650055,159.9279938,-76.13500977,238.2660443
26.65736544,-160.951004,163.0860138,-80.79000854,242.9594597
26.67733214,-157.1159973,167.0139923,-79.45700073,242.6778218
26.69741256,-156.6470032,170.8739777,-81.14700317,245.603412
26.7174014,-156.8619995,178.904007,-86.62200928,253.2107879
26.73733206,-158.6419983,182.5769806,-88.64099121,257.6021405
26.75739802,-159.5189972,186.6029816,-92.18499756,262.230923
26.77732664,-162.1690063,189.7089996,-97.5289917,267.9555847
26.79733179,-167.029007,194.0390167,-99.62600708,274.7274476
26.82735448,-171.2570038,201.7190094,-107.9039917,285.7670232
26.84731183,-174.4360046,205.2610016,-112.9899902,292.1074056
